symbol,entry_date,setup,p_raw,p_cal,score,is_win,r_realized
HIMS,2024-07-11,momentum,0.4287794285730566,0.3397291196388262,34,0,-1.0
PWR,2024-07-12,momentum,0.6764214443934602,0.641711229946524,64,0,-1.0
APP,2024-07-12,momentum,0.4306863113545535,0.3397291196388262,34,0,-1.0
AA,2024-07-12,reversion,0.33840227092554426,0.3397291196388262,34,0,-1.0
PANW,2024-07-12,momentum,0.46438245968498715,0.41379310344827586,41,0,-1.0
CRDO,2024-07-12,momentum,0.497665576057197,0.45714285714285713,46,1,2.75
ADBE,2024-07-12,momentum,0.34003289688433114,0.3397291196388262,34,0,-1.0
NRG,2024-07-12,momentum,0.5161255373862188,0.45714285714285713,46,0,-1.0
BTDR,2024-07-12,momentum,0.22826154183499692,0.33519553072625696,34,0,-1.0
PDD,2024-07-12,momentum,0.4924033710612425,0.4461538461538462,45,0,-1.0
ROKU,2024-07-12,momentum,0.3562983403403512,0.3397291196388262,34,1,2.753
CVX,2024-07-15,momentum,0.44103075073013936,0.41379310344827586,41,1,2.623
CLSK,2024-07-15,momentum,0.7203228429426982,0.7281553398058253,73,1,2.756
MSTR,2024-07-15,momentum,0.7195409852554203,0.7281553398058253,73,1,2.751
SPOT,2024-07-16,reversion,0.3701020156841231,0.3397291196388262,34,0,-1.0
RTX,2024-07-16,momentum,0.5247501137398641,0.5042016806722689,50,1,2.756
ANET,2024-07-16,momentum,0.33798345705213745,0.3397291196388262,34,0,-1.0
SHOP,2024-07-17,breakout,0.3149736530750134,0.33519553072625696,34,0,-1.0
NXPI,2024-07-17,breakout,0.3317921973830326,0.3397291196388262,34,0,-1.0
MU,2024-07-17,reversion,0.21661805990733532,0.33519553072625696,34,0,-1.0
V,2024-07-17,momentum,0.4556982594654045,0.41379310344827586,41,0,-1.0
BA,2024-07-17,momentum,0.3126575804277984,0.33519553072625696,34,0,-1.0
UBER,2024-07-17,breakout,0.30034049639670596,0.33519553072625696,34,0,-1.0
META,2024-07-17,reversion,0.23762145588777397,0.33519553072625696,34,1,2.502
TLN,2024-07-17,breakout,0.28433525328685344,0.33519553072625696,34,0,-1.0
TMO,2024-07-17,momentum,0.4394061034809007,0.41379310344827586,41,0,-1.0
MA,2024-07-17,momentum,0.457345273889089,0.41379310344827586,41,0,-1.0
LLY,2024-07-18,breakout,0.1131652805259492,0.3333333333333333,33,1,3.0
ISRG,2024-07-18,reversion,0.19812738818615866,0.33519553072625696,34,1,2.499
CRWD,2024-07-18,reversion,0.21763792609346622,0.33519553072625696,34,0,-1.0
PSTG,2024-07-18,reversion,0.23222040688575346,0.33519553072625696,34,0,-1.0
AMD,2024-07-18,reversion,0.142509950553404,0.33519553072625696,34,0,-1.0
FSLR,2024-07-18,reversion,0.2630012956990182,0.33519553072625696,34,1,0.692
LRCX,2024-07-18,reversion,0.16715662849231225,0.33519553072625696,34,0,-1.0
SBUX,2024-07-19,momentum,0.535885976167642,0.5042016806722689,50,0,-1.0
ABNB,2024-07-22,momentum,0.3207108796206952,0.33519553072625696,34,0,-1.0
MCHP,2024-07-22,momentum,0.3098892507205543,0.33519553072625696,34,0,-1.0
NEE,2024-07-22,momentum,0.3341679809212124,0.3397291196388262,34,1,2.752
AAPL,2024-07-22,momentum,0.2945601389303698,0.33519553072625696,34,0,-1.0
SMCI,2024-07-22,reversion,0.19590337722102188,0.33519553072625696,34,0,-1.0
UAL,2024-07-22,momentum,0.33579274826547,0.3397291196388262,34,0,-1.0
MS,2024-07-23,momentum,0.3202399270138847,0.33519553072625696,34,0,-1.0
NET,2024-07-23,momentum,0.2182592631867356,0.33519553072625696,34,0,-1.0
AVGO,2024-07-23,momentum,0.37557713185056696,0.3397291196388262,34,0,-1.0
PWR,2024-07-23,momentum,0.42136075919408295,0.3397291196388262,34,0,-1.0
RIVN,2024-07-24,momentum,0.12500270873511632,0.3333333333333333,33,0,-1.0
REGN,2024-07-24,momentum,0.1797213054686813,0.33519553072625696,34,0,-1.0
XLF,2024-07-26,momentum,0.31728112582566714,0.33519553072625696,34,0,-1.0
RKLB,2024-07-26,momentum,0.2897335033907143,0.33519553072625696,34,0,-1.0
RBLX,2024-07-26,momentum,0.2721867799937443,0.33519553072625696,34,0,-1.0
JPM,2024-07-26,momentum,0.3075132527483352,0.33519553072625696,34,0,-1.0
MRK,2024-07-29,momentum,0.24026326396711506,0.33519553072625696,34,0,-1.0
GS,2024-07-29,momentum,0.17992053986275464,0.33519553072625696,34,1,2.749
CIEN,2024-07-29,momentum,0.2171686335618057,0.33519553072625696,34,1,2.764
WFC,2024-07-30,momentum,0.24510472396590405,0.33519553072625696,34,0,-1.0
UNH,2024-07-30,momentum,0.23336596160180018,0.33519553072625696,34,1,1.457
ADI,2024-07-31,momentum,0.4260717986281337,0.3397291196388262,34,0,-1.0
ADBE,2024-07-31,momentum,0.41406400957945594,0.3397291196388262,34,0,-1.0
DASH,2024-07-31,momentum,0.6901461911273611,0.6785714285714286,68,1,2.699
KLAC,2024-07-31,momentum,0.600923986131121,0.5918367346938775,59,0,-1.0
AAPL,2024-07-31,momentum,0.4158513498318564,0.3397291196388262,34,0,-1.0
BAC,2024-07-31,reversion,0.18248208986420697,0.33519553072625696,34,0,-1.0
SPY,2024-07-31,momentum,0.43086954644394804,0.3397291196388262,34,0,-1.0
MPWR,2024-07-31,momentum,0.6427264086320758,0.641711229946524,64,0,-1.0
AMZN,2024-07-31,momentum,0.4164989217734952,0.3397291196388262,34,0,-1.0
PWR,2024-07-31,momentum,0.4132933282903783,0.3397291196388262,34,0,-1.0
ANET,2024-08-01,momentum,0.40934440412245904,0.3397291196388262,34,0,-1.0
